M-25-22 Section,M-25-22 Title,M-25-22 Component,IVN Source Name,IVN Source Agency,Alignment Score
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB Memorandum M-16-17, OMB Circular No. A-123, Management's Responsibility for Enterprise Risk Management and Internal Control, July 15, 2016",OMB,4
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-21-02, Fiscal Year 2020-2021 Guidance on Federal Information Security and Privacy Management Requirements",OMB,3
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-25-04, Fiscal Year 2025 Guidance on Federal Information Security and Privacy Management Requirements, January 2025","Over the next two years, led by OMB and OPM, the Federal Government will transition to a single Core HCM platform, which will encompass the following functions: personnel action processing, employee system of record, position management, employee and manager self-service, analytics and dashboards, time and attendance, and learning. OPM is leading a procurement effort to identify a vendor to implement the new Core HCM system consistent with Federal requirements. The Core HCM system will integrate with other Federal HR IT systems (such as payroll, benefits, talent acquisition, performance management, and retirement) to ensure a seamless flow of information across various HR functions. The system will include comprehensive security controls to protect employee information. The transition onto a single Core HCM platform will be divided into two waves of implementation, as detailed in Appendix A. Wave 1 agencies are planned to begin transition in fiscal year (FY) 2026, with Wave 2 agencies following in FY 2027. This approach will allow for significant interagency feedback and collaboration to help ensure successful implementation. Appendix B provides a sample timeline for an agency onboarding onto a single Core HCM system. OMB and OPM will continue to transition agencies to using the electronic Official Personnel Folder (eOPF) and Enterprise Human Resources Integration (EHRI) systems. Eventually, the single Core HCM system will make these systems redundant, and allow for their decommissioning and elimination.",3
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"This Departmental Manual (DM) provides guidance for cybersecurity incident management and reporting and describes essential preparations for effective incident management. b. This DM supports compliance by the United States Department of Agriculture (USDA) with Federal laws, regulations, and guidance on cybersecurity incident management. c. This DM serves as the foundation for Mission Areas, agencies, and staff offices to develop and implement cybersecurity incident management procedures and plans that comply with Federal and Departmental requirements.",USDA,3
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-37, Revision 2, Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy, December 2018 ",National Institute of Standards and Technology,3
3.c,Maximize the Use of American-Made AI,Maximize the use of AI products and services that are developed and produced in the United States.,"This Departmental Manual (DM) provides guidance for cybersecurity incident management and reporting and describes essential preparations for effective incident management. b. This DM supports compliance by the United States Department of Agriculture (USDA) with Federal laws, regulations, and guidance on cybersecurity incident management. c. This DM serves as the foundation for Mission Areas, agencies, and staff offices to develop and implement cybersecurity incident management procedures and plans that comply with Federal and Departmental requirements.",USDA,2
3.c,Maximize the Use of American-Made AI,Maximize the use of AI products and services that are developed and produced in the United States.,"This Departmental Regulation (DR) establishes the United States Department of Agriculture (USDA) Identity, Credential, and Access Management (ICAM) policy for unclassified systems. This DR defines the authority for ICAM governance, policy, procedure, and technology.",USDA,2
3.b,Update Agency Policies,Update internal procedures on acquisition to comply with M-25-22 and M-25-21.,"This Departmental Manual (DM) provides guidance for cybersecurity incident management and reporting and describes essential preparations for effective incident management. b. This DM supports compliance by the United States Department of Agriculture (USDA) with Federal laws, regulations, and guidance on cybersecurity incident management. c. This DM serves as the foundation for Mission Areas, agencies, and staff offices to develop and implement cybersecurity incident management procedures and plans that comply with Federal and Departmental requirements.",USDA,2
3.c,Maximize the Use of American-Made AI,Maximize the use of AI products and services that are developed and produced in the United States.,POTUS Memo 2025-15338 - Reissuance of and Amendments to National Security Presidential Memorandum 5 on Strengthening the Policy of the United States Toward Cuba,EOP,2
3.d,Protect Privacy,Establish policies and processes to ensure compliance with privacy requirements.,"OMB M-21-02, Fiscal Year 2020-2021 Guidance on Federal Information Security and Privacy Management Requirements",OMB,2
3.d,Protect Privacy,Establish policies and processes to ensure compliance with privacy requirements.,"OMB M-25-04, Fiscal Year 2025 Guidance on Federal Information Security and Privacy Management Requirements, January 2025","Over the next two years, led by OMB and OPM, the Federal Government will transition to a single Core HCM platform, which will encompass the following functions: personnel action processing, employee system of record, position management, employee and manager self-service, analytics and dashboards, time and attendance, and learning. OPM is leading a procurement effort to identify a vendor to implement the new Core HCM system consistent with Federal requirements. The Core HCM system will integrate with other Federal HR IT systems (such as payroll, benefits, talent acquisition, performance management, and retirement) to ensure a seamless flow of information across various HR functions. The system will include comprehensive security controls to protect employee information. The transition onto a single Core HCM platform will be divided into two waves of implementation, as detailed in Appendix A. Wave 1 agencies are planned to begin transition in fiscal year (FY) 2026, with Wave 2 agencies following in FY 2027. This approach will allow for significant interagency feedback and collaboration to help ensure successful implementation. Appendix B provides a sample timeline for an agency onboarding onto a single Core HCM system. OMB and OPM will continue to transition agencies to using the electronic Official Personnel Folder (eOPF) and Enterprise Human Resources Integration (EHRI) systems. Eventually, the single Core HCM system will make these systems redundant, and allow for their decommissioning and elimination.",2
3.d,Protect Privacy,Establish policies and processes to ensure compliance with privacy requirements.,"This Departmental Manual (DM) provides guidance for cybersecurity incident management and reporting and describes essential preparations for effective incident management. b. This DM supports compliance by the United States Department of Agriculture (USDA) with Federal laws, regulations, and guidance on cybersecurity incident management. c. This DM serves as the foundation for Mission Areas, agencies, and staff offices to develop and implement cybersecurity incident management procedures and plans that comply with Federal and Departmental requirements.",USDA,2
3.e.iii,Data Handling,"Provide clear guidance on handling, access, and use of agency data.",EO 12906 - Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,"3581. Presumption of accessibility for statistical agencies and units (a) Accessibility of Data Assets .-The head of an agency shall, to the extent practicable, make any data asset maintained by the agency available, upon request, to any statistical agency or unit for purposes of developing evidence. (b) Limitations .-Subsection (a) does not apply to any data asset that is subject to a statute that- (1) prohibits the sharing or intended use of such asset in a manner as to leave no discretion on the issue; or (2) if enacted after the date of the enactment of this section, specifically cites to this paragraph. (c) Regulations .-The Director shall prescribe regulations for agencies to carry out this section. Such regulations shall- (1) require the timely provision of data assets under subsection (a); (2) provide a list of statutes that exempt agencies from the requirement under subsection (a) pursuant to subsection (b)(1); (3) establish clear and consistent standards, to the extent possible, for complying with section 552a of title 5 (commonly known as the ""Privacy Act of 1974"") and any other applicable law requiring the protection and confidentiality of individually identifiable information; and (4) require a transparent process for statistical agencies and units to request data assets from agencies and for agencies to respond to such requests. (d) Rule of Construction .-Nothing in this section may be construed as altering existing intellectual property rights or the terms of any contract or other binding, written agreement. (Added Pub. L. 115-435, title III, 303(a), Jan. 14, 2019, 132 Stat. 5554 .) Editorial Notes The date of the enactment of this section, referred to in subsec. (b)(2), is the date of enactment of Pub. L. 115-435, which was approved Jan. 14, 2019. Statutory Notes and Related Subsidiaries Section effective 180 days after Jan. 14, 2019, see section 403 of Pub. L. 115-435, set out as an of 2019 Amendment note under section 306 of Title 5, Government Organization and Employees.",2
3.e.iii,Data Handling,"Provide clear guidance on handling, access, and use of agency data.",USDA DATA Act Guidance 2024,USDA,2
3.c,Maximize the Use of American-Made AI,Maximize the use of AI products and services that are developed and produced in the United States.,EO 14358 - Modifying Reciprocal Tariff Rates Consistent With the Economic and Trade Arrangement Between the United States and the People's Republic of China,EOP,2
3.c,Maximize the Use of American-Made AI,Maximize the use of AI products and services that are developed and produced in the United States.,H.R. 119-4550 - United States Grain Standards Reauthorization Act of 2025,Congress,2
1,Overview,Safeguarding Taxpayer Dollars by Tracking AI Performance and Managing Risk,"NIST AI 100-1, Artificial Intelligence Risk Management Framework (AI RMF 1.0)",NIST,2
1,Overview,Safeguarding Taxpayer Dollars by Tracking AI Performance and Managing Risk,National Institute of Standards and Technology AI 100-1 AI Risk Management Framework 1.0,NIST,2
1,Overview,Safeguarding Taxpayer Dollars by Tracking AI Performance and Managing Risk,"NIST SP 800-39, Managing Information Security Risk: Organization, Mission, and Information System View, March 2011",National Institute of Standards and Technology,2
4.c.ii,Protections Against Vendor Lock-In,Include provisions in the solicitation reflecting the agency's interest in AI proposals that reduce the risk of vendor lock-in.,National Institute of Standards and Technology AI 100-1 AI Risk Management Framework 1.0,NIST,2
4.c.ii,Protections Against Vendor Lock-In,Include provisions in the solicitation reflecting the agency's interest in AI proposals that reduce the risk of vendor lock-in.,"NIST AI 100-1, Artificial Intelligence Risk Management Framework (AI RMF 1.0)",NIST,2
4.c.i,AI Use Transparency Requirements,Disclose in solicitations whether a planned use of an AI system meets the threshold of a high-impact use case.,"EO 13837 - Ensuring Transparency, Accountability, and Efficiency in Taxpayer Funded Union Time Use",EOP,2
3.h,Determine Necessary Disclosures of AI Use in the Fulfillment of a Government Contract,Determine whether there are circumstances that merit including a provision in a solicitation requiring disclosure of AI use.,EO 13164 - Requiring Federal Agencies to Establish Procedures to Facilitate the Provision of Reasonable Accommodation,EOP,2
3.g,Contribute to a Shared Repository of Best Practices,"GSA to develop a web-based repository for sharing information, knowledge, and resources about AI acquisition.","OMB A-130, Revised, Management of Federal Information Resources",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST AI 100-1, Artificial Intelligence Risk Management Framework (AI RMF 1.0)",NIST,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB A-130, Revised, Management of Federal Information Resources",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-25-28, Guidance Implementing the President's Memorandum Directing the Repeal of Unlawful Regulations",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,National Institute of Standards and Technology AI 100-1 AI Risk Management Framework 1.0,NIST,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST SP 800-37, Revision 2, Risk Management Framework for Information Systems and Organizations: A System Life Cycle Approach for Security and Privacy, December 2018 ",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"NIST SP 800-61, Revision 3, Incident Response Recommendations and Considerations for Cybersecurity Risk Management: A CSF 2.0 Community Profile, April 2025 ",National Institute of Standards and Technology,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-20-32, Improving Vulnerability Identification, Management, and Remediation",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"Office of Management and Budget (OMB) Circular A-130, Managing Information as a Strategic Resource",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-22-18, Enhancing the Security of the Software Supply Chain through Secure Software Development Practices",OMB,2
4.d.iii.D,OMB Memorandum M-25-21 Compliance Requirements,Contracts must ensure compliance with minimum risk management practices for high-impact use cases as required under M-25-21.,"OMB M-04-25, FY 2004 Reporting Instructions for the Federal Information Security Management Act",OMB,2
4.d.iii.E,Ongoing Testing and Monitoring,"Contractual terms must provide the contracting agency the ability to regularly monitor and evaluate performance, risks, and effectiveness of an AI system or service.",USDA Farm Service Agency Budget Explanatory Notes 2023,USDA,2
4.d.iii.F,Vendor Performance Requirements,Require vendors to regularly monitor an AI system's performance and rectify unacceptable behavior.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST FIPS 200, Minimum Security Requirements for Federal Information and Information Systems",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"OMB M-06-07, Designation of a Senior Agency Official for Geospatial Information",OMB,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-128, Guide for Security-Focused Configuration Management of Information Systems, October 2019 ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-137, Information Security Continuous Monitoring (ISCM) for Federal Information Systems and Organizations, September 2011 ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-171 Rev. 3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations, May 2024",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST FIPS 199, Standards for Security Categorization of Federal Information and Information Systems, February 2004",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-18, Revision 1, Guide for Developing Security Plans for Federal Information Systems, February 2006",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-34, Revision 1, Contingency Planning Guide for Federal Information Systems, November 2010",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-39, Managing Information Security Risk: Organization, Mission, and Information System View, March 2011",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-53, Revision 5, Security and Privacy Controls for Information Systems and Organizations, December 2020 (and as updated in November 2023) ",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-53B, Control Baselines for Information Systems and Organizations, December 2020",National Institute of Standards and Technology,2
4.e.i,Authorization To Operate Compliance,Any AI systems and services operated as an information system by or on behalf of an agency must receive an authorization to operate.,"NIST SP 800-60, Revision 2, Guide for Mapping Types of Information and Systems to Security Categories, January 2024",National Institute of Standards and Technology,2
4.e.ii,Contractual Oversight,Perform effective system oversight consistent with the terms of the contract.,EO 13839 - Promoting Accountability and Streamlining Removal Procedures Consistent with Merit System Principles,EOP,2
4.f.i,Vendor Lock-In Protection,Implement any contractual terms related to ongoing rights and access to any data or derived products resulting from the services provided under the contract.,EO 12906 - Coordinating Geographic Data Acquisition and Access: The National Spatial Data Infrastructure,"3581. Presumption of accessibility for statistical agencies and units (a) Accessibility of Data Assets .-The head of an agency shall, to the extent practicable, make any data asset maintained by the agency available, upon request, to any statistical agency or unit for purposes of developing evidence. (b) Limitations .-Subsection (a) does not apply to any data asset that is subject to a statute that- (1) prohibits the sharing or intended use of such asset in a manner as to leave no discretion on the issue; or (2) if enacted after the date of the enactment of this section, specifically cites to this paragraph. (c) Regulations .-The Director shall prescribe regulations for agencies to carry out this section. Such regulations shall- (1) require the timely provision of data assets under subsection (a); (2) provide a list of statutes that exempt agencies from the requirement under subsection (a) pursuant to subsection (b)(1); (3) establish clear and consistent standards, to the extent possible, for complying with section 552a of title 5 (commonly known as the ""Privacy Act of 1974"") and any other applicable law requiring the protection and confidentiality of individually identifiable information; and (4) require a transparent process for statistical agencies and units to request data assets from agencies and for agencies to respond to such requests. (d) Rule of Construction .-Nothing in this section may be construed as altering existing intellectual property rights or the terms of any contract or other binding, written agreement. (Added Pub. L. 115-435, title III, 303(a), Jan. 14, 2019, 132 Stat. 5554 .) Editorial Notes The date of the enactment of this section, referred to in subsec. (b)(2), is the date of enactment of Pub. L. 115-435, which was approved Jan. 14, 2019. Statutory Notes and Related Subsidiaries Section effective 180 days after Jan. 14, 2019, see section 403 of Pub. L. 115-435, set out as an of 2019 Amendment note under section 306 of Title 5, Government Organization and Employees.",2
