Enabling Component ID,Enabling Component Name,Probable Dependent Component,Dependent Source,Relationship Basis,Suggested IVN Sheet,Suggested Confidence
LAUNCHING-THE-GENE-001,Trump First Lady Melania Trump Vice President JD Vance Second Lady Usha Vance The Cabinet Executive Office of The President Office of Man...,"OMB Circular A-129, Policies for Federal Credit Programs and Non-Tax Receivables","OMB Circular A-129, Policies for Federal Credit Programs and Non-Tax Receivables",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.17
LAUNCHING-THE-GENE-022,(a) Nothing in this order shall be construed to impair or otherwise affect: (i)&nbsp; &nbsp;the authority granted by law to an executive ...,44 USC 3558 - Effect on existing law,Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.14
LAUNCHING-THE-GENE-016,"(a) The APST, through the NSTC, and with support from the Federal Chief Data Officer Council and the Chief AI Officer Council, shall conv...",USDA SP 2022-2026 4.1.0: Increase Food Security Through Assistance and Access to Nutritious and Affordable Food,USDA Strategic Plan 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.14
LAUNCHING-THE-GENE-014,"(c) &nbsp;Following development of the expanded list described in subsection (b) of this section, agencies participating in the&nbsp;Miss...",USDA Dir 2405-001: Guidance on the Use of Prize Competitions and Challenges,USDA Directives,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.13
LAUNCHING-THE-GENE-021,"(a) Within 1 year of the date of this order, and on an annual basis thereafter, the Secretary shall submit a report to the President, thr...",OMB M-25-34 - Priority Crosscutting Action 4 - Revitalize and Strengthen America's S&T Ecosystem,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.12
LAUNCHING-THE-GENE-019,"&nbsp;To facilitate these collaborations, the Secretary shall: (i) &nbsp;&nbsp;&nbsp;develop standardized partnership frameworks, includi...","USDA DR 3515-002, Privacy Policy and Compliance for Personally Identifiable Information (PII)",USDA Directives,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.11
LAUNCHING-THE-GENE-018,"(c) &nbsp;The Secretary, in coordination with the APST and the Special Advisor for AI and Crypto, shall establish mechanisms for agency c...",ACT-IAC 2025 FIC Strategic Plan 2.2 - Facilitate public-private partnerships and cross-agency collaboration to deliver measurable outcomes,ACT-IAC 2025 Federal Innovation Council Strategic Plan,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.11
LAUNCHING-THE-GENE-009,"(d)&nbsp; Within 120 days of the date of this order, the Secretary shall: (i) &nbsp;&nbsp;identify a set of initial data and model assets...",USDA Science Research Strategy 2023 5.4 Ag Science Policy,USDA Science & Research Strategy 2023,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.11
LAUNCHING-THE-GENE-006,(b)&nbsp; The Secretary shall take necessary steps to ensure that the Platform is operated in a manner that meets security requirements c...,FC 36.3 Postaward Pre-Construction Orientation.,Federal Acquisition Regulation (FAR) Companion Version 2.0,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.11
LAUNCHING-THE-GENE-007,"(c)&nbsp; Within 90 days of the date of this order, the Secretary shall identify Federal computing, storage, and networking resources ava...",USDA Science Research Strategy 2023 3.4 Pathogen Virulence Factors,USDA Science & Research Strategy 2023,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-020,"(d)&nbsp; The APST, through the NSTC, shall, to the extent appropriate, identify opportunities for international scientific collaboration...",USDA APHIS SP 2023-2027 4.2: Maintain and expand the Agency's leadership role through international standard setting and collaboration,USDA APHIS Strategic Plan Framework 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-004,"(c)&nbsp; The Assistant to the President for Science and Technology (APST) shall provide general leadership of the Mission, including coo...",EO 14338 - Chief Design Officer,EO 14338 - Improving Our Nation Through Better Design,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-003,"(b)&nbsp; The Secretary of Energy (Secretary) shall be responsible for implementing the Mission within DOE, consistent with the provision...","OMB M-25-24, Interim Guidance Implementing Section 3 of Executive Order 14215, Titled ""Ensuring Accountability for All Agencies""","OMB M-25-24, Interim Guidance Implementing Section 3 of Executive Order 14215, Titled ""Ensuring Accountability for All Agencies""?",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-012,"(a) Within 60 days of the date of this order, the Secretary shall identify and submit to the APST a detailed list of at least 20 science ...",OMB M-25-34 - R&D Budget Priority 1.2: Quantum Information S&T,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.1
LAUNCHING-THE-GENE-017,"(b) The APST shall coordinate with relevant agencies in establishing, consistent with existing authorizing statutes and subject to availa...",USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025 Research and Education Activities - Research Equipment Grants (EGP),USDA National Institute of Food and Agriculture Budget Explanatory Notes 2025,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-015,"(d) &nbsp;On an annual basis thereafter, the Secretary shall review and update the list of challenges in consultation with the APST and t...",OMB M-25-34 - R&D Budget Priority 1: Ensure Unrivaled American Leadership in Critical and Emerging Technologies,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-005,(a) The Secretary shall establish and operate the American Science and Security Platform (Platform) to serve as the infrastructure for th...,OMB M-25-34 - R&D Budget Priority 1.1: Artificial Intelligence,"OMB M-25-34, Fiscal Year (FY) 2027 Administration Research and Development Budget Priorities and Cross-Cutting Actions",Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-010,"(e)&nbsp; Within 240 days of the date of this order, the Secretary shall review capabilities across the DOE national laboratories and oth...",44 USC 3556 - Federal information security incident center,Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-023,(b)&nbsp; This order shall be implemented consistent with applicable law and subject to the availability of appropriations.,USDA BEN Expiring Legislation 2025,USDA Budget Explanatory Notes 2025,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.09
LAUNCHING-THE-GENE-008,&nbsp;The Secretary shall also identify any additional partnerships or infrastructure enhancements that could support the computational f...,USDA SP 2022-2026 1.4.5: Clean fuels production and infrastructure support,USDA Strategic Plan 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.08
LAUNCHING-THE-GENE-013,"(b) &nbsp;Within 30 days of submission of the list described in subsection (a) of this section, the APST shall review the proposed list a...",FC 35.201 How To Use Evaluation Criteria For R&D.,Federal Acquisition Regulation (FAR) Companion Version 2.0,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.08
LAUNCHING-THE-GENE-024,(d)&nbsp; The costs for publication of this order shall be borne by the Department of Energy.,USDA SP 2022-2026 5.2.4: Partner with Federal agencies to reduce greenhouse gas emissions in rural housing.,USDA Strategic Plan 2022-2026,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.07
LAUNCHING-THE-GENE-011,"(f)&nbsp; Within 270 days of the date of this order, the Secretary shall, consistent with applicable law and subject to&nbsp;available ap...",44 USC 3556 - Federal information security incident center,Federal Information Security Modernization Act (FISMA) - 44 USC Ch 35 SubCh II,Keyword overlap between governance requirement and IVN component description,Inferred_Alignments,0.06
